8/1p2r3/p1p5/3p2k1/1P4P1/P1b5/6K1/3B1R2 b - - 4 45	312
5r2/pp2r1k1/4pbp1/2R5/1P1pNPPp/P2BnR1P/3K4/8 b - - 0 34	213
1nbqr1k1/3r1pp1/1ppb3p/p7/P3p3/1PBP1NPP/2P2PBK/R2Q1R2 w - - 0 21	-241
8/p1r1kpp1/Br2p2p/B1b5/P1Ppn3/1R3PP1/P3P2P/4K1R1 b - - 0 22	-347
8/8/8/8/6R1/p3KP2/1r5k/8 b - - 18 87	1
2r5/1p2kp1R/4p3/1p2P1p1/pP6/P1P1R1P1/3r1P2/5K2 b - - 2 32	572
r1b1kb1r/1pnnpp1p/2p3p1/p1PpP3/Q2P4/3B1N1P/3N1PP1/4K2R b Kkq - 1 17	-103
r4rk1/5pp1/3qbn1p/2np4/pN6/P3P1P1/1P1NBPP1/R1Q2RK1 w - - 4 20	306
4R3/2p3k1/1pr5/p5Pp/P4p1P/1P1n1P2/3B4/5K2 b - - 16 46	-345
2r1n3/8/3p1k2/p2P1p2/R1N5/5K2/8/8 w - - 6 47	-549
2k5/8/pP6/Pp5p/4K3/6P1/8/8 w - - 2 58	4
r1br3k/1p4p1/1q5p/p4p2/PnN1p3/1QR1P1P1/1P2BP1P/4K2R b K - 5 26	281
8/8/2R3P1/5K2/5P1k/7p/8/5r2 b - - 0 50	-257
6k1/5pp1/2P5/B4P1p/3p2P1/3P2KP/2r2r2/3R4 b - - 0 34	421
5k2/6p1/4n1Kp/1p1pP2P/p1pP2P1/P1P1B3/8/8 b - - 33 58	14
5bk1/5p2/2b2Pp1/1p2P3/2p1q2Q/2Pp1N1P/1r1B2P1/6RK w - - 4 35	-470
2r5/3k1p2/2n1p2p/p1RpP2P/3P2r1/pP3N2/P2K1P2/2R5 w - - 4 31	-114
r2qr3/1p3pbk/p6p/1nP1np2/1P2p3/1RN1P1PP/P2B1PB1/2Q2RK1 b - - 1 23	-212
4br1k/pp3p1P/3bp3/3p4/4n3/P1P1PN2/1P3PR1/3K3R b - - 14 33	244
rnb2rk1/pp3ppp/3q1n2/2p5/3p4/4P3/PPPPBPPP/RNBQ1RK1 b - - 2 9	-344
r4rk1/2pqnpbp/1p3np1/p1p5/5B2/PQN1P3/1P2BPPP/2R2RK1 w - - 1 17	351
7r/3bqpk1/3p1np1/2pPp3/1rP1P2P/R1N1NQP1/KP3R2/8 w - - 15 47	409
3k4/Q7/p2p4/1b1PpB2/6P1/4P2P/1p4K1/2q5 w - - 9 59	-232
5bk1/1R6/3rp1K1/6B1/5P2/3P4/8/8 w - - 4 62	249
4n1k1/p1r2pp1/4r3/8/1pP4Q/1P1qB3/P4PRP/4R1K1 b - - 0 32	-240
8/2p2k2/8/P1r2p2/3R1Np1/2B1P3/1P2KPPr/1b6 b - - 0 39	-73
4r1k1/1p5p/5p2/p4Qp1/2qB4/P4NPP/1P3K2/8 w - - 6 37	79
rn1qkbnr/1p3pp1/8/p3pP1p/1p1pP2P/3P4/P1P1NP2/R1BQKB1R w KQkq - 0 12	-468
r5r1/p4ppp/8/6k1/3N4/2B3P1/PP2P1bP/2K3R1 b - - 3 26	462
8/4n3/2p1kr2/1nK1N2R/6PP/5P2/8/8 b - - 0 59	14
4r3/1p2k3/p1p1p3/2P3R1/P1BP1p2/7r/1P2N3/5K2 w - - 3 39	511
8/3k3p/3b4/5P2/2K5/8/3p4/5R2 b - - 1 65	-14
1b4r1/p2n1r1k/1p5p/2p3q1/P1N2p2/2BP1RPP/1PP2QK1/4R3 b - - 1 31	-304
2k5/1R3p2/2PK4/4P3/8/5r2/8/8 b - - 6 56	-552
8/1p1k1N1p/1p2p1bR/2p1P3/3r1PP1/P3K3/1P6/8 w - - 2 33	507
2kr2r1/1ppb2q1/p7/7p/2p1PP2/P1P5/P2R2P1/R1B2Q1K w - - 1 24	-531
