fen	played_uci	coda_cp	opp_cp	dur	src
r1bq1r1k/p4pbp/1pn1p1pn/2pp4/P2PP3/N1P2N1P/1PB2PP1/R1BQ1RK1 b - - 0 7	c5d4	-132	-54	2	runA150.pgn
r1bq1r1k/p4pbp/1pn1p1pn/3p4/P2PP3/N4N1P/1PB2PP1/R1BQ1RK1 b - - 0 8	d5e4	-79	-35	2	runA150.pgn
r3k2r/1pp1q2p/p2p2p1/4bb2/8/Q4P2/PPP2BPP/2KR1B1R w kq - 2 12	f1b5	118	23	8	runA150.pgn
r3k2r/1p2q2p/p1pp2p1/1B2bb2/8/Q4P2/PPP2BPP/2KR3R w kq - 0 13	b5d3	71	12	8	runA150.pgn
r3k2r/1p2q2p/p1pp2p1/4b3/8/Q2b1P2/PPP2BPP/2KR3R w kq - 0 14	a3d3	79	18	8	runA150.pgn
4rr1k/2n3pp/1p1p1n2/p1bP1p2/P1B1pP2/P3PqPP/1B1Q3R/2R2NK1 b - - 6 22	f3h5	0	-45	4	runA150.pgn
4rr1k/2n3pp/1p1p1n2/p1bP1p1q/P1B1pP2/P3P1PP/1B1Q3R/3R1NK1 b - - 8 23	e8e7	-1	-87	4	runA150.pgn
5r1k/2n1r1pp/1p1p1n2/p1bP1p1q/P1B1pP2/P3P1PP/1BQ4R/3R1NK1 b - - 10 24	h7h6	-24	-78	4	runA150.pgn
r1bq1r2/p3b1pk/n1p4p/1pp1Pp2/4P1nP/1QN2NP1/PP3PB1/R1B2RK1 w - - 0 10	c1f4	62	13	3	runA150.pgn
r1bq1r2/p3b1pk/2p4p/1pp1Pp2/1n2PBnP/1QN2NP1/PP3PB1/R4RK1 w - - 2 11	e5e6	61	16	3	runA150.pgn
r1bq1r2/p3b1pk/2p1P2p/1p3p2/1np1PBnP/1QN2NP1/PP3PB1/R4RK1 w - - 0 12	b3d1	61	14	3	runA150.pgn
r4r2/p2bb1pk/2p4p/1p3p2/1npNPBnP/2N3P1/PP3PB1/3R1RK1 w - - 2 15	e4f5	86	6	3	runA150.pgn
r4r2/p2bb1pk/2p4p/1p3P2/2pN1BnP/2Nn2P1/PP3PB1/3R1RK1 w - - 1 16	g2e4	73	6	3	runA150.pgn
r4r2/p2bb1pk/2p4p/1p3P2/2pNBnnP/2N3P1/PP3P2/3R1RK1 w - - 0 17	f5f6	87	0	3	runA150.pgn
r1b1r1k1/2p1qppp/pn1b4/4p3/2P1P3/4B1P1/1P1N1PBP/R2Q1RK1 w - - 1 15	d1c2	77	18	2	runA150.pgn
r1b1r1k1/2p1qppp/pn6/2b1p3/2P1P3/4B1P1/1PQN1PBP/R4RK1 w - - 3 16	e3c5	57	17	2	runA150.pgn
5kn1/1ppnrp2/3p2q1/6P1/p2P3P/2P2Q1B/b3PR2/5RK1 b - - 1 22	d7b6	0	-66	4	runA150.pgn
5kn1/1pp1rp2/1n1p2q1/5BP1/p2P3P/2P2Q2/b3PR2/5RK1 b - - 3 23	g6g7	13	-66	4	runA150.pgn
5kn1/1Qp1rpq1/1n1p4/5BP1/p2P3P/2P5/b3PR2/5RK1 b - - 0 24	f7f6	-24	-93	4	runA150.pgn
6R1/8/5r2/4q3/3k4/8/1Q6/6K1 b - - 8 65	d4d5	-80	-9	2	runA150.pgn
6R1/8/5r2/3kq3/8/1Q6/8/6K1 b - - 10 66	d5d6	-54	-5	2	runA150.pgn
q4B2/5p1k/3p2p1/p7/1pBnP3/1Pr3P1/P4P1P/3Q2K1 w - - 0 29	d1d4	-100	-23	5	runA150.pgn
5q2/5p1k/3p2p1/p7/1pBQP3/1Pr3P1/P4P1P/6K1 w - - 0 30	d4f6	-93	-37	5	runA150.pgn
5q2/5p1k/3p1Qp1/p7/1pB1P3/1P4P1/P4P1P/2r3K1 w - - 2 31	g1g2	-104	-35	5	runA150.pgn
5r2/pp4pk/2pq3p/4Np1Q/P1P1pP2/1P1nP2P/6P1/3R2K1 w - - 1 26	a4a5	71	22	3	runA150.pgn
5rk1/pp4p1/2pq3p/P3Np1Q/2P1pP2/1P1nP2P/6P1/3R2K1 w - - 1 27	g1f1	104	25	3	runA150.pgn
5rk1/1p4p1/p1pq3p/P3Np1Q/2P1pP2/1P1nP2P/6P1/3R1K2 w - - 0 28	f1e2	84	0	3	runA150.pgn
r3k1nr/p1pp1p2/1pb1pq2/8/1bP3p1/1B2P3/PP1NQP1R/R1B1K1N1 w Qkq - 0 11	h2h8	-9	-100	2	runA150.pgn
r3k1nq/p1pp1p2/1pb1p3/8/1bP3p1/1B2P3/PP1NQP2/R1B1K1N1 w Qq - 0 12	e2g4	-62	-105	2	runA150.pgn
2k5/p1pp4/1pbbp3/5p2/1PP4q/P2KP3/1BBN1P1r/1R3Q2 w - - 4 24	f2f3	0	-47	2	runA150.pgn
2k5/p1pp4/2bbp3/1p3p2/1PP4q/P2KPP2/1BBN3r/1R3Q2 w - - 0 25	c2b3	23	-36	2	runA150.pgn
r3kn1r/p1q1bpp1/2pp3p/1p2pb2/3PP1n1/PPN5/1BPQBP1P/R3K2R w KQkq - 0 9	e4f5	92	35	6	runA150.pgn
r3kn1r/p1q1bpp1/2pp1n1p/1p2pP2/3P4/PPN5/1BPQBP1P/R3K2R w KQkq - 1 10	d4d5	78	30	6	runA150.pgn
r3kn1r/2q1bpp1/p1pp1n1p/1p1PpP2/8/PPN5/1BPQBP1P/R3K2R w KQkq - 0 11	d5c6	96	22	6	runA150.pgn
r2q1rk1/3nbpp1/2pp1np1/pp5P/3QP1P1/P1N1B3/1PP1BP2/R3K2R b KQ - 0 10	b5b4	-142	-54	2	runA150.pgn
